wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,2,12,4,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,255,4_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
N,B,S,N_B_S.png,training,2,13,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,255,4_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
N,B,C,N_B_C.png,training,2,14,6,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,255,6_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
N,Y,S,N_Y_S.png,training,2,15,6,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,255,6_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
N,Y,C,N_Y_C.png,training,2,16,5,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,255,5_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
T,B,C,T_B_C.png,training,3,17,3,low,wing,color,tail,N,T,Y,B,L1,L2,I1,C,S,255,3_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
N,Y,S,N_Y_S.png,training,3,18,7,high,wing,color,tail,N,T,Y,B,H1,H2,I2,C,S,255,7_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
N,Y,C,N_Y_C.png,training,3,19,7,high,wing,color,tail,N,T,Y,B,H1,H2,I1,C,S,255,7_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
T,Y,C,T_Y_C.png,training,3,20,7,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,C,S,255,7_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
T,B,S,T_B_S.png,training,3,21,3,low,wing,color,tail,N,T,Y,B,L1,L2,I2,C,S,255,3_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
N,B,S,N_B_S.png,training,3,22,3,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,C,S,255,3_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
T,Y,S,T_Y_S.png,training,3,23,5,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,C,S,255,5_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
N,B,C,N_B_C.png,training,3,24,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,C,S,255,5_food.png,"Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/T_Y_S.png","medium,medium,low,high,low,medium,high,medium"
